iteration,strategy,sharpe,return,drawdown
72,momentum,-0.5313774472121505,-0.03314445012337519,0.03862682692469399
73,momentum,0.2889945919833444,0.013645357564992189,0.012010437438924604
74,momentum,-0.46271432216125824,-0.009390476578424622,0.012723875072776392
75,momentum,0.19265480283929493,0.0052460109244723,0.005968987755070598
76,momentum,0.14298487393716752,0.0071413748610293926,0.016373201780014668
77,momentum,-0.5473809268238865,-0.024408274192401436,0.027659070385500417
78,momentum,-0.0454702324860408,-0.002169870885067926,0.016772303918564546
79,momentum,0.09265258976271337,0.006485477144997365,0.026825066752528604
80,momentum,0.06167283378622572,0.0008680974685448817,0.0069935325514534075
81,momentum,0.05648675313641169,0.0052782459706173235,0.027459403004533978
82,momentum,-0.5119202005163788,-0.019224473752345705,0.024753777668398147
83,momentum,-0.18946070801037154,-0.006965237030328142,0.025412169774204907
84,momentum,-0.2908315680326605,-0.003834608858998889,0.006721590757680529
85,momentum,-0.4749114844804197,-0.040033757185227836,0.040033757185227836
86,momentum,0.4163268855048457,0.026653325827941332,0.009999406548682144
87,momentum,-0.3433688268898539,-0.024311873836314724,0.052612917616959076
88,momentum,-0.6778225818287346,-0.06439506417096896,0.06439506417096896
89,momentum,0.31907705337661324,0.024323920138097144,0.02916730613231089
90,momentum,-0.10287822607291755,-0.0016935881874877712,0.008020571581959013
91,momentum,0.9771184710468879,0.05190849238209272,0.003447109691151029
92,momentum,-0.1608742711250697,-0.008717511768596475,0.020822540745820683
93,momentum,0.1181516102679289,0.008369787290502195,0.022878418315693927
94,momentum,-0.5732129851517752,-0.06357100809314609,0.07992901098239935
95,momentum,0.18761937526287345,0.018512947838436267,0.03346277168573408
96,momentum,-0.5301236160286161,-0.024547061915445645,0.03007818862740974
97,momentum,-0.12828074563288058,-0.0024078261541534696,0.007573053934306517
98,momentum,0.43286232517047746,0.015987442775183602,0.006393518693098121
99,momentum,0.08933969508868662,0.0031417907808641843,0.01329859198970218
